timestamp,Open,High,Low,Close,Volume
2022-01-03,53.9700,55.1600,53.9400,54.8300,5602883
2022-01-04,55.3100,56.0500,55.2500,55.5900,4856970
2022-01-05,56.1600,56.4800,55.4300,55.4300,5043460
2022-01-06,57.1000,57.3100,56.6500,56.8900,4954379
2022-01-07,56.9000,57.0400,56.3650,56.6700,6023687
2022-01-10,56.5700,56.7780,55.8300,56.1600,3758046
2022-01-11,56.9500,58.2800,56.5400,58.1600,6409324
2022-01-12,58.3700,59.1700,58.3600,58.9100,5171605
2022-01-13,59.0200,59.1300,58.2099,58.2700,4680723
2022-01-14,59.1000,59.9800,59.0700,59.9700,6031241
2022-01-18,60.3600,61.0900,60.1605,60.9700,6017391
2022-01-19,61.2500,61.9000,60.9800,61.0500,5163946
2022-01-20,61.2400,62.1700,60.6050,60.6600,4278403
2022-01-21,60.8700,61.2400,60.0800,60.7800,5410239
2022-01-24,59.9100,60.2199,58.8100,60.1100,9108253
2022-01-25,59.9100,61.1700,59.8800,60.9700,6104811
2022-01-26,61.6700,62.5200,61.4050,61.6800,6735134
2022-01-27,62.6600,62.7100,61.3600,61.8600,5751637
2022-01-28,62.6400,62.9900,61.4200,61.9700,4187072
2022-01-31,62.1900,62.5000,61.3600,62.4800,3142803
2022-02-01,61.9100,62.7600,61.5800,62.5300,4308289
2022-02-02,62.7800,62.8600,61.7500,62.5200,3332603
2022-02-03,62.1000,63.8100,61.9000,63.5100,5222162
2022-02-04,64.6800,65.3500,64.6500,64.9100,4830401
2022-02-07,64.6100,65.0500,64.4700,64.6800,2247156
2022-02-08,63.7100,63.8300,62.8500,63.6200,4923181
2022-02-09,63.7900,64.3700,63.5099,64.1700,3933680
2022-02-10,63.9000,65.0800,63.5900,63.9600,4787645
2022-02-11,64.4300,66.3400,64.3700,65.7400,12309152
2022-02-14,64.9700,66.8800,64.8000,66.3600,9540651
2022-02-15,64.2000,64.4000,63.5350,64.2800,10080896
2022-02-16,65.0800,65.8700,63.5000,63.5400,6978288
2022-02-17,63.6200,64.5000,63.4200,64.1700,7116171
2022-02-18,63.1400,65.0000,62.9200,64.7400,8438411
2022-02-22,66.8600,66.9300,65.2800,65.5400,9291777
2022-02-23,65.9000,67.3200,65.6600,66.2400,8562387
2022-02-24,70.1900,70.2400,65.0700,66.3400,18256681
