timestamp,Close,Open,High,Low
2025-04-08,3145.55,3094.26,3145.55,3085.12
2025-04-07,3096.58,3193.1,3217.78,3040.69
2025-04-03,3342.01,3319.61,3358.43,3319.61
2025-04-02,3350.13,3344.17,3361.13,3343.12
2025-04-01,3348.44,3340.71,3357.62,3338.78
2025-03-31,3335.75,3343.34,3361.74,3317.74
2025-03-28,3351.31,3372.04,3375.05,3346.08
2025-03-27,3373.75,3362.71,3394.03,3351.17
2025-03-26,3368.7,3365.67,3382.34,3365.67
2025-03-25,3369.98,3370.0,3379.99,3361.05
2025-03-24,3370.03,3364.83,3373.69,3340.24
2025-03-21,3364.83,3401.76,3414.71,3355.84
2025-03-20,3408.95,3425.22,3427.05,3404.66
2025-03-19,3426.43,3424.17,3439.05,3414.59
2025-03-18,3429.76,3434.57,3437.07,3423.3
2025-03-17,3426.13,3430.81,3436.35,3422.46
2025-03-14,3419.56,3361.69,3421.23,3360.61
2025-03-13,3358.73,3371.09,3377.12,3341.12
2025-03-12,3371.92,3385.69,3392.41,3370.22
2025-03-11,3379.83,3335.44,3379.83,3334.83
2025-03-10,3366.16,3373.26,3375.8,3347.19
2025-03-07,3372.55,3373.18,3390.94,3363.93
2025-03-06,3381.1,3353.57,3387.05,3348.68
2025-03-05,3341.96,3324.7,3342.71,3314.15
2025-03-04,3324.21,3300.5,3327.82,3297.53
2025-03-03,3316.93,3328.4,3349.02,3304.59
2025-02-28,3320.9,3374.66,3383.19,3318.72
2025-02-27,3388.06,3378.45,3388.78,3353.57
2025-02-26,3380.21,3351.21,3380.21,3351.21
2025-02-25,3346.04,3345.65,3369.56,3337.84
2025-02-24,3373.03,3374.08,3384.81,3355.87
2025-02-21,3379.11,3356.69,3381.06,3339.03
2025-02-20,3350.78,3347.59,3355.56,3338.03
2025-02-19,3351.54,3320.78,3352.09,3320.58
2025-02-18,3324.49,3348.98,3366.01,3314.3
2025-02-17,3355.83,3355.42,3357.12,3333.19
2025-02-14,3346.72,3328.48,3349.08,3322.53
2025-02-13,3332.48,3343.23,3359.18,3332.48
2025-02-12,3346.39,3312.26,3346.39,3310.39
2025-02-11,3318.06,3323.67,3324.17,3304.44
2025-02-10,3322.17,3308.04,3325.36,3299.24
2025-02-07,3303.67,3269.23,3324.43,3262.51
2025-02-06,3270.66,3226.57,3271.43,3225.85
2025-02-05,3229.49,3270.16,3271.02,3220.28
2025-01-27,3250.6,3256.61,3274.39,3250.6
2025-01-24,3252.63,3222.88,3260.01,3221.71
2025-01-23,3230.16,3237.6,3273.52,3229.57
2025-01-22,3213.62,3235.49,3235.5,3203.38
2025-01-21,3242.62,3256.83,3258.61,3229.07
2025-01-20,3244.38,3256.15,3268.26,3238.12
2025-01-17,3241.82,3226.76,3256.51,3219.77
2025-01-16,3236.03,3239.03,3265.28,3217.1
2025-01-15,3227.12,3234.72,3245.9,3222.24
2025-01-14,3240.94,3165.16,3245.22,3159.43
2025-01-13,3160.75,3148.83,3172.7,3140.98
2025-01-10,3168.52,3211.71,3220.11,3168.52
2025-01-09,3211.39,3220.72,3228.97,3205.91
2025-01-08,3230.17,3218.86,3246.29,3175.72
2025-01-07,3229.64,3203.31,3230.85,3190.46
2025-01-06,3206.92,3209.78,3219.49,3185.46
2025-01-03,3211.43,3267.08,3273.57,3205.78
2025-01-02,3262.56,3347.94,3351.72,3242.09
2024-12-31,3351.76,3406.97,3413.45,3351.76
2024-12-30,3407.33,3395.4,3412.84,3394.96
2024-12-27,3400.14,3397.29,3418.95,3388.32
2024-12-26,3398.08,3389.34,3401.1,3380.25
2024-12-25,3393.35,3395.11,3406.21,3374.01
2024-12-24,3393.53,3353.54,3394.9,3352.95
2024-12-23,3351.26,3367.9,3384.99,3348.28
2024-12-20,3368.07,3364.48,3390.62,3362.82
2024-12-19,3370.03,3355.9,3377.53,3346.47
2024-12-18,3382.21,3371.3,3396.46,3371.3
2024-12-17,3361.49,3381.81,3396.21,3357.77
2024-12-16,3386.33,3390.08,3401.93,3376.54
2024-12-13,3391.88,3442.93,3442.93,3390.75
2024-12-12,3461.5,3432.28,3464.12,3425.98
2024-12-11,3432.49,3416.09,3437.81,3416.09
2024-12-10,3422.66,3490.29,3494.87,3417.77
2024-12-09,3402.53,3402.63,3426.65,3385.96
2024-12-06,3404.08,3370.94,3418.26,3364.21
2024-12-05,3368.86,3353.06,3377.05,3353.06
2024-12-04,3364.65,3376.57,3388.02,3352.94
2024-12-03,3378.81,3366.29,3386.62,3348.37
2024-12-02,3363.98,3328.48,3369.3,3323.01
2024-11-29,3326.46,3295.21,3357.5,3293.69
2024-11-28,3295.7,3308.28,3319.26,3290.36
2024-11-27,3309.78,3250.59,3309.88,3227.36
2024-11-26,3259.76,3256.86,3285.33,3252.87
2024-11-25,3263.76,3274.88,3285.46,3232.92
2024-11-22,3267.19,3368.04,3372.0,3267.19
2024-11-21,3370.4,3362.94,3378.52,3348.86
2024-11-20,3367.99,3337.68,3375.25,3333.0
2024-11-19,3346.01,3324.88,3346.76,3284.13
2024-11-18,3323.85,3344.69,3386.9,3309.01
2024-11-15,3330.73,3369.81,3391.32,3330.73
2024-11-14,3379.84,3429.51,3441.77,3376.15
2024-11-13,3439.28,3406.92,3442.3,3404.53
2024-11-12,3421.97,3469.89,3489.42,3402.04
2024-11-11,3470.07,3432.37,3471.12,3416.73
2024-11-08,3452.3,3502.13,3509.82,3443.19
2024-11-07,3470.66,3359.99,3470.66,3356.26
2024-11-06,3383.81,3395.22,3421.0,3367.08
