date,S&P 500,NASDAQ,Dow Jones,US stock market,bull market,stocks rally,economic growth,interest rate cut,strong earnings,SP500 up,ETF inflows,US market gains,equities surge,stock rally,financial markets rising
2025-04-12,9,14,30,33,13,35,18,34,5,17,10,26,10,35,27
2025-04-12,10,14,31,37,12,37,18,34,4,17,10,28,10,34,28
