date,S&P 500,NASDAQ,Dow Jones,US stock market,bull market,stocks rally,economic growth,interest rate cut,strong earnings,SP500 up,ETF inflows,US market gains,equities surge,stock rally,financial markets rising
2025-04-15,8,15,32,30,16,15,26,42,5,18,12,20,7,23,26
2025-04-16,7,15,32,30,16,16,29,43,3,18,15,19,7,23,26
