timestamp,Open,High,Low,Close,Volume
2025-04-01,71.39,72.1,71.03,71.2,272832.0
2025-04-02,71.2,72.28,70.59,71.71,286501.0
2025-04-03,70.38,70.41,65.98,66.95,459238.0
2025-04-04,66.64,66.9,60.45,61.99,559638.0
2025-04-07,61.12,63.9,58.95,60.7,597617.0
2025-04-08,61.03,61.75,57.88,59.58,557655.0
2025-04-09,58.32,62.93,55.12,62.35,592250.0
2025-04-10,62.71,63.34,58.76,60.07,391826.0
2025-04-11,60.2,61.87,59.43,61.5,306231.0
2025-04-14,61.7,62.68,60.59,61.53,238068.0
2025-04-15,61.58,62.06,60.88,61.33,197404.0
2025-04-16,61.54,62.98,60.44,62.47,213194.0
2025-04-17,62.63,64.86,62.61,64.68,111479.0
2025-04-21,64.3,64.42,62.45,63.08,82671.0
2025-04-22,63.43,65.09,63.43,64.31,297928.0
2025-04-23,64.0,64.87,61.53,62.27,397841.0
2025-04-24,62.34,63.31,61.99,62.79,264908.0
2025-04-25,62.86,63.41,61.8,63.02,283758.0
2025-04-28,63.49,63.92,61.48,62.05,276116.0
2025-04-29,61.87,62.07,60.12,60.42,312373.0
2025-04-30,60.16,60.43,57.91,58.21,419549.0
