timestamp,Close,Open,High,Low,Volume
2025-04-01,2964.43,3032.41,3044.23,2952.04,87840000000
2025-04-02,2926.39,2919.67,2958.40,2917.94,71070000000
2025-04-03,2859.58,2957.64,2972.49,2853.76,91410000000
2025-04-04,2781.97,2886.61,2902.62,2778.43,130180000000
2025-04-07,2729.89,2648.09,2791.28,2646.70,165630000000
2025-04-08,2746.41,2775.78,2780.46,2727.98,74150000000
2025-04-09,2650.69,2689.77,2707.15,2598.85,123800000000
2025-04-10,2764.28,2790.31,2801.19,2742.48,90690000000
2025-04-11,2829.92,2825.03,2839.28,2800.69,77170000000
2025-04-14,2819.69,2848.99,2856.63,2806.95,56670000000
2025-04-15,2805.55,2824.64,2836.00,2788.26,52950000000
2025-04-16,2861.83,2801.01,2870.39,2790.70,62510000000
2025-04-17,2865.32,2863.20,2884.76,2844.33,63290000000
2025-04-18,2872.77,2881.79,2892.01,2825.41,72360000000
2025-04-21,2922.46,2881.23,2929.91,2880.01,67850000000
2025-04-22,2954.49,2945.13,2954.49,2914.37,71090000000
2025-04-23,2943.23,2929.78,2946.43,2900.32,74900000000
2025-04-24,2944.43,2961.81,2973.99,2934.79,56240000000
2025-04-25,3006.14,2962.11,3009.48,2956.80,101000000000
2025-04-28,3034.30,3009.92,3053.15,2979.14,142380000000
2025-04-29,2957.66,2994.64,2998.68,2955.18,67940000000
2025-04-30,2918.47,2923.86,2954.21,2887.83,83170000000
